,CROPS,TYPE_OF_CROP,SOIL,SEASON,SOWN,HARVESTED,SOIL_PH,CROP_DURATION,WATERSOURCE,TEMP,WATER_REQUIRED,RELATIVE_HUMIDITY
1665,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.8,132,rainfed,23.44,948,79.16
1419,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,5.7,99,"irrigated,rainfall",28.24,983,60.0
1171,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.5,70,"irrigated,rainfall",41.58,987,18.0
2022,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,6.2,144,"irrigated,rainfall",24.66,500,88.07
1441,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,7.0,120,"irrigated,rainfall",29.91,668,60.0
405,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.5,83,"irrigated,rainfall",44.19,485,94.88
757,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.8,91,"irrigated,rainfall",33.48,606,15.29
1362,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.4,72,"irrigated,rainfall",22.75,539,52.04
1620,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.8,125,rainfed,23.85,1127,79.76
1611,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.9,123,rainfed,18.08,1394,80.94
2220,jute,fibre crop,Sandy and Clay Loam,kharif,Jun-Jul,Sep-Oct,7.4,132,"irrigated,rainfall",35.39,1143,74.24
743,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.8,100,"irrigated,rainfall",34.49,524,19.81
806,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,7.0,90,"irrigated,rainfall",28.94,500,19.87
2308,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.0,301,irrigated,26.89,1533,79.86
1317,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.4,75,"irrigated,rainfall",24.01,517,51.88
1896,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.5,142,"irrigated,rainfall",22.51,674,65.0
1506,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,6.6,100,rainfed,26.12,800,61.09
148,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,6.6,81,"irrigated,rainfall",21.24,624,58.51
2111,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",kharif,Jun-Jul,Sep-Oct,7.1,136,"irrigated,rainfall",28.2,1167,73.01
1436,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,6.1,102,"irrigated,rainfall",27.42,931,60.0
692,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,7.0,75,"irrigated,rainfall",44.37,349,19.95
818,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.5,86,"irrigated,rainfall",27.93,745,17.6
1756,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,7.0,90,"irrigated,rainfall",27.96,483,89.58
1653,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.8,131,rainfed,23.83,923,79.31
1714,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,7.0,94,"irrigated,rainfall",18.03,640,89.74
701,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.8,89,"irrigated,rainfall",31.39,652,15.39
2211,jute,fibre crop,Sandy and Clay Loam,kharif,Jun-Jul,Sep-Oct,7.5,140,"irrigated,rainfall",37.95,1013,70.64
921,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,5.6,120,rainfed,25.15,514,19.84
905,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,5.8,120,rainfed,25.8,623,18.53
454,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.5,85,"irrigated,rainfall",44.19,494,94.9
2393,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,kharif,Jun-Jul,Sep-Oct,7.3,318,irrigated,23.35,2285,76.7
1793,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,7.0,91,"irrigated,rainfall",18.48,469,89.76
1228,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.1,100,"irrigated,rainfall",31.49,945,64.61
167,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,6.4,81,"irrigated,rainfall",21.62,635,56.5
730,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.5,100,"irrigated,rainfall",39.41,482,19.81
1578,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.4,105,rainfed,25.26,800,50.57
26,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,5.1,150,"irrigated,rainfall",39.95,2495,60.46
1344,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.4,75,"irrigated,rainfall",24.03,516,51.88
1523,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,6.4,100,rainfed,28.83,800,69.76
997,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,5.8,120,rainfed,26.24,638,18.0
1176,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.6,72,"irrigated,rainfall",25.69,858,17.78
1040,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.9,94,rainfed,20.0,899,19.78
1621,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.8,129,rainfed,23.61,1020,79.38
1255,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.9,100,"irrigated,rainfall",29.71,965,66.11
1887,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.7,149,"irrigated,rainfall",17.18,606,65.0
41,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,5.2,150,"irrigated,rainfall",39.91,2495,60.57
1244,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.8,100,"irrigated,rainfall",27.78,971,67.16
1626,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.7,130,rainfed,18.15,1340,80.94
2194,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",kharif,Jun-Jul,Sep-Oct,7.4,136,"irrigated,rainfall",27.6,1019,80.33
1375,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,5.0,61,"irrigated,rainfall",20.08,691,54.88
1922,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,7.9,85,"irrigated,rainfall",24.43,443,94.7
609,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,6.2,75,"irrigated,rainfall",43.17,334,18.13
1132,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.5,73,"irrigated,rainfall",20.56,867,17.97
2002,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,8.4,160,"irrigated,rainfall",22.26,500,82.75
441,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.0,79,"irrigated,rainfall",38.49,416,89.16
1352,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,5.0,89,"irrigated,rainfall",26.17,400,54.88
1942,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,7.9,85,"irrigated,rainfall",24.42,440,94.39
493,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,6.8,79,"irrigated,rainfall",34.88,421,87.2
1975,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,6.6,94,"irrigated,rainfall",22.08,368,86.27
236,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.9,105,"irrigated,rainfall",26.95,505,84.89
551,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,6.2,108,"irrigated,rainfall",21.15,1042,18.16
520,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,5.8,106,"irrigated,rainfall",23.33,1063,18.61
2296,jute,fibre crop,Sandy and Clay Loam,kharif,Jun-Jul,Sep-Oct,7.4,134,"irrigated,rainfall",32.51,1213,73.36
1232,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.0,100,"irrigated,rainfall",30.47,950,64.59
1138,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.5,70,"irrigated,rainfall",41.58,987,18.0
720,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.5,100,"irrigated,rainfall",39.43,482,19.83
1907,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,6.5,95,"irrigated,rainfall",24.98,350,81.51
2208,jute,fibre crop,Sandy and Clay Loam,kharif,Jun-Jul,Sep-Oct,7.5,134,"irrigated,rainfall",37.06,1061,71.23
58,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,7.9,150,"irrigated,rainfall",29.23,1033,79.62
631,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,6.8,75,"irrigated,rainfall",21.34,345,16.4
1181,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.5,73,"irrigated,rainfall",20.61,835,17.95
1644,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.8,130,rainfed,23.85,975,79.37
592,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,5.5,104,"irrigated,rainfall",24.76,1091,19.23
2176,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",kharif,Jun-Jul,Sep-Oct,7.2,136,"irrigated,rainfall",29.16,1076,74.8
939,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,5.5,120,rainfed,25.08,505,19.98
2325,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.0,301,irrigated,26.89,1632,78.59
1249,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.0,100,"irrigated,rainfall",30.66,944,63.96
904,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,5.6,120,rainfed,25.48,555,19.46
1946,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,7.3,90,"irrigated,rainfall",21.91,424,90.5
2398,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,kharif,Jun-Jul,Sep-Oct,7.4,314,irrigated,23.44,2264,75.09
2013,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,6.1,149,"irrigated,rainfall",24.69,500,84.46
1422,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,6.9,118,"irrigated,rainfall",29.89,684,60.0
1995,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,7.9,85,"irrigated,rainfall",23.69,458,95.35
1911,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,7.1,91,"irrigated,rainfall",22.0,411,89.62
706,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.5,100,"irrigated,rainfall",39.39,482,19.79
1022,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.7,91,rainfed,20.0,877,18.61
745,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.8,97,"irrigated,rainfall",37.83,508,17.67
1829,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.5,141,"irrigated,rainfall",29.11,687,65.0
1712,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,7.0,90,"irrigated,rainfall",30.42,465,89.75
513,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,5.2,103,"irrigated,rainfall",26.26,1135,19.62
81,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,8.0,150,"irrigated,rainfall",21.72,2495,64.14
2215,jute,fibre crop,Sandy and Clay Loam,kharif,Jun-Jul,Sep-Oct,7.5,139,"irrigated,rainfall",36.51,1267,71.51
914,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,5.7,120,rainfed,26.7,662,17.43
2301,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,kharif,Jun-Jul,Sep-Oct,7.4,315,irrigated,23.47,2260,75.12
1817,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.5,141,"irrigated,rainfall",44.38,700,65.0
150,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,7.0,90,"irrigated,rainfall",23.97,650,50.14
774,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.8,95,"irrigated,rainfall",35.55,535,17.0
329,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,6.9,96,"irrigated,rainfall",32.83,477,97.8
6,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,7.2,150,"irrigated,rainfall",39.03,2486,72.38
943,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,6.0,120,rainfed,26.18,579,17.89
1594,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.4,105,rainfed,25.26,800,50.57
734,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.8,88,"irrigated,rainfall",29.75,690,15.06
909,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,5.8,120,rainfed,26.04,666,18.08
468,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.2,79,"irrigated,rainfall",41.73,412,90.88
181,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,6.5,82,"irrigated,rainfall",21.8,622,56.33
164,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,7.0,90,"irrigated,rainfall",23.97,650,50.14
451,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.5,85,"irrigated,rainfall",44.19,494,94.9
490,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.5,77,"irrigated,rainfall",43.78,424,92.07
1916,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,6.5,95,"irrigated,rainfall",21.97,352,84.26
1143,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.5,70,"irrigated,rainfall",41.58,987,18.0
1697,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.9,120,rainfed,18.08,1395,80.94
1111,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.5,70,"irrigated,rainfall",41.01,987,18.0
2380,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,kharif,Jun-Jul,Sep-Oct,7.3,316,irrigated,23.47,2256,75.99
1475,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,6.9,119,"irrigated,rainfall",29.87,697,60.0
1487,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,6.1,102,"irrigated,rainfall",27.59,930,60.0
1713,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,7.0,100,"irrigated,rainfall",15.04,684,89.76
1820,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.5,141,"irrigated,rainfall",43.72,698,65.0
2079,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,5.7,139,"irrigated,rainfall",24.46,500,91.5
1849,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.6,143,"irrigated,rainfall",23.86,685,65.0
1732,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,7.0,90,"irrigated,rainfall",29.07,535,88.79
1792,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,7.0,91,"irrigated,rainfall",18.78,684,89.76
327,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,7.1,97,"irrigated,rainfall",38.17,505,94.48
442,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.4,77,"irrigated,rainfall",43.99,406,93.33
1592,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.3,103,rainfed,25.26,800,50.64
1381,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.4,74,"irrigated,rainfall",24.27,426,52.07
832,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.3,86,"irrigated,rainfall",27.35,705,17.48
2467,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,kharif,Jun-Jul,Sep-Oct,7.3,170,irrigated,17.51,706,69.1
1891,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.5,141,"irrigated,rainfall",44.38,700,65.0
1310,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.1,85,"irrigated,rainfall",26.15,417,52.97
86,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,7.8,150,"irrigated,rainfall",31.39,1260,78.46
2440,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,kharif,Jun-Jul,Sep-Oct,7.2,170,irrigated,17.56,700,68.94
777,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.6,100,"irrigated,rainfall",38.82,489,19.44
2426,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,kharif,Jun-Jul,Sep-Oct,7.3,170,irrigated,17.52,700,69.19
54,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,8.0,150,"irrigated,rainfall",38.67,2443,79.79
1875,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.6,146,"irrigated,rainfall",14.28,659,65.0
1287,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.0,100,"irrigated,rainfall",31.56,961,64.15
1731,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,7.0,90,"irrigated,rainfall",30.54,466,89.76
1801,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.6,144,"irrigated,rainfall",24.04,653,65.0
1245,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.0,100,"irrigated,rainfall",30.44,952,65.1
113,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,6.6,82,"irrigated,rainfall",21.42,612,57.62
2341,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,kharif,Jun-Jul,Sep-Oct,7.6,311,irrigated,23.17,2330,73.11
987,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,6.5,120,rainfed,25.11,512,15.23
2261,jute,fibre crop,Sandy and Clay Loam,kharif,Jun-Jul,Sep-Oct,7.5,140,"irrigated,rainfall",37.96,1299,89.73
2073,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,5.8,146,"irrigated,rainfall",24.57,500,87.5
1009,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.9,94,rainfed,20.0,899,19.78
1198,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.5,75,"irrigated,rainfall",20.04,773,17.99
589,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,5.1,102,"irrigated,rainfall",26.58,1144,19.78
768,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.8,98,"irrigated,rainfall",38.68,507,17.9
17,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,5.9,150,"irrigated,rainfall",39.66,2493,62.08
1042,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.3,89,rainfed,20.0,658,15.08
2040,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,7.5,159,"irrigated,rainfall",24.27,500,87.95
285,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.3,107,"irrigated,rainfall",22.57,600,68.54
428,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.4,78,"irrigated,rainfall",43.71,410,92.81
1921,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,7.9,85,"irrigated,rainfall",24.53,444,95.0
1356,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,5.0,90,"irrigated,rainfall",29.03,400,54.88
669,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,7.0,75,"irrigated,rainfall",44.38,350,19.95
31,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,5.2,150,"irrigated,rainfall",39.9,2495,60.57
722,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.6,99,"irrigated,rainfall",38.53,500,19.18
951,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,5.7,120,rainfed,26.73,662,17.38
1764,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,7.0,90,"irrigated,rainfall",30.03,467,89.76
214,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.9,105,"irrigated,rainfall",25.13,510,76.69
1789,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,7.0,90,"irrigated,rainfall",28.35,490,89.38
1164,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.5,73,"irrigated,rainfall",20.9,820,17.92
326,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,6.4,99,"irrigated,rainfall",34.63,481,95.52
560,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,8.1,120,"irrigated,rainfall",11.77,1082,19.95
1086,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.3,85,rainfed,20.0,743,17.57
1830,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.6,144,"irrigated,rainfall",24.55,650,65.0
341,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,6.3,100,"irrigated,rainfall",32.31,500,93.38
147,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,6.6,80,"irrigated,rainfall",21.19,646,59.35
1840,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.5,143,"irrigated,rainfall",15.06,678,65.0
1107,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.6,73,"irrigated,rainfall",23.8,834,17.73
848,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.5,85,"irrigated,rainfall",28.74,778,17.63
966,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,6.0,120,rainfed,25.88,603,17.9
1072,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.5,84,rainfed,20.0,780,17.66
155,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,6.5,82,"irrigated,rainfall",21.71,622,56.57
2141,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",kharif,Jun-Jul,Sep-Oct,7.0,135,"irrigated,rainfall",21.88,1298,79.51
2110,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",kharif,Jun-Jul,Sep-Oct,7.6,137,"irrigated,rainfall",26.83,943,82.57
1002,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.9,81,rainfed,20.0,899,15.37
1844,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.5,141,"irrigated,rainfall",44.38,700,65.0
2092,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,8.4,160,"irrigated,rainfall",22.26,500,83.43
1848,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.5,141,"irrigated,rainfall",44.38,700,65.0
2209,jute,fibre crop,Sandy and Clay Loam,kharif,Jun-Jul,Sep-Oct,6.9,125,"irrigated,rainfall",30.88,1219,79.89
2352,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,kharif,Jun-Jul,Sep-Oct,7.9,310,irrigated,25.98,2362,74.4
1203,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.1,100,"irrigated,rainfall",34.2,997,62.31
1632,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.7,127,rainfed,18.08,1395,80.94
2345,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,kharif,Jun-Jul,Sep-Oct,7.8,315,irrigated,24.69,2328,76.18
1393,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.5,73,"irrigated,rainfall",24.01,401,53.07
2351,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,kharif,Jun-Jul,Sep-Oct,7.4,314,irrigated,23.45,2264,75.11
2288,jute,fibre crop,Sandy and Clay Loam,kharif,Jun-Jul,Sep-Oct,7.5,139,"irrigated,rainfall",37.46,1095,70.66
